build_key,runs,acquisition_probability,completion_rate,avg_final_stage,avg_ending_bankroll,consistency,dominant_components
"core.lucky-chip|economy.comp-points|economy.interest-ledger|heat.soft-footsteps|player.player-tempo",7,0.14%,85.714%,9.857,666553.571,1,"lucky-chip + comp-points + interest-ledger + soft-footsteps"
"banker.commission-dodge|core.lucky-chip|economy.comp-points|heat.low-profile|heat.soft-footsteps",3,0.06%,66.667%,8.333,367641.667,0.667,"commission-dodge + lucky-chip + comp-points + low-profile"
"banker.commission-dodge|core.clean-hands|heat.low-profile|heat.soft-footsteps|tie.equalizer",3,0.06%,66.667%,9.667,512133.333,1,"commission-dodge + clean-hands + low-profile + soft-footsteps"
"core.clean-hands|economy.interest-ledger|heat.low-profile|heat.soft-footsteps|tie.equalizer",5,0.1%,60%,8.6,393700,0.6,"clean-hands + interest-ledger + low-profile + soft-footsteps"
"banker.commission-dodge|core.lucky-chip|economy.comp-points|heat.soft-footsteps|tie.equalizer",4,0.08%,50%,8.5,256112.5,0.5,"commission-dodge + lucky-chip + comp-points + soft-footsteps"
"core.lucky-chip|economy.comp-points|economy.interest-ledger|heat.soft-footsteps|vision.pattern-memory",4,0.08%,50%,8.5,619687.5,0.5,"lucky-chip + comp-points + interest-ledger + soft-footsteps"
"boss.house-crack|core.clean-hands|economy.interest-ledger|heat.low-profile|heat.soft-footsteps",4,0.08%,50%,9.75,472821.75,1,"house-crack + clean-hands + interest-ledger + low-profile"
"core.lucky-chip|economy.interest-ledger|heat.low-profile|heat.soft-footsteps|vision.pattern-memory",2,0.04%,50%,9,457750,1,"lucky-chip + interest-ledger + low-profile + soft-footsteps"
"bet.high-roller|core.lucky-chip|economy.interest-ledger|heat.low-profile|heat.soft-footsteps",2,0.04%,50%,8,283187.5,0.5,"high-roller + lucky-chip + interest-ledger + low-profile"
"banker.commission-dodge|core.lucky-chip|economy.comp-points|heat.soft-footsteps|player.player-tempo",2,0.04%,50%,8.5,912112.5,0.5,"commission-dodge + lucky-chip + comp-points + soft-footsteps"
"core.clean-hands|debt.emergency-marker|heat.low-profile|heat.soft-footsteps|vision.third-card-forecast",2,0.04%,50%,8.5,4190312.5,0.5,"clean-hands + emergency-marker + low-profile + soft-footsteps"
"core.clean-hands|debt.last-dollar|economy.interest-ledger|heat.soft-footsteps",2,0.04%,50%,7,296181,0.5,"clean-hands + last-dollar + interest-ledger + soft-footsteps"
"core.clean-hands|debt.emergency-marker|economy.interest-ledger|heat.soft-footsteps|player.player-tempo",2,0.04%,50%,8.5,626500,0.5,"clean-hands + emergency-marker + interest-ledger + soft-footsteps"
"bet.high-roller|core.clean-hands|debt.last-dollar|heat.soft-footsteps|player.punto-insurance",2,0.04%,50%,7.5,279625,0.5,"high-roller + clean-hands + last-dollar + soft-footsteps"
"banker.banco-press|core.clean-hands|debt.emergency-marker|heat.low-profile|heat.soft-footsteps",2,0.04%,50%,9,338650,1,"banco-press + clean-hands + emergency-marker + low-profile"
"banker.banker-anchor|core.clean-hands|economy.interest-ledger|heat.low-profile|heat.soft-footsteps",2,0.04%,50%,8.5,376737.5,0.5,"banker-anchor + clean-hands + interest-ledger + low-profile"
"core.clean-hands|economy.interest-ledger|heat.low-profile|heat.soft-footsteps|tie.tie-master",2,0.04%,50%,8,729062.5,0.5,"clean-hands + interest-ledger + low-profile + soft-footsteps"
"core.lucky-chip|economy.comp-points|heat.soft-footsteps|player.punto-insurance|tie.mirror-bet",2,0.04%,50%,8.5,459625,0.5,"lucky-chip + comp-points + soft-footsteps + punto-insurance"
"core.lucky-chip|economy.comp-points|economy.interest-ledger|heat.soft-footsteps|tie.equalizer",14,0.28%,42.857%,7.714,440633.929,0.5,"lucky-chip + comp-points + interest-ledger + soft-footsteps"
"banker.commission-dodge|core.lucky-chip|economy.comp-points|player.player-tempo|tie.equalizer",5,0.1%,40%,9,687040,0.8,"commission-dodge + lucky-chip + comp-points + player-tempo"
"core.lucky-chip|economy.comp-points|economy.interest-ledger|heat.soft-footsteps|player.punto-insurance",8,0.16%,37.5%,7.5,593859.375,0.375,"lucky-chip + comp-points + interest-ledger + soft-footsteps"
"banker.commission-dodge|core.lucky-chip|economy.interest-ledger|heat.soft-footsteps|tie.equalizer",11,0.22%,36.364%,7.364,310729.545,0.364,"commission-dodge + lucky-chip + interest-ledger + soft-footsteps"
"banker.commission-dodge|core.lucky-chip|economy.comp-points|economy.interest-ledger|heat.soft-footsteps",14,0.28%,35.714%,7.571,332583.929,0.5,"commission-dodge + lucky-chip + comp-points + interest-ledger"
"banker.banker-anchor|core.lucky-chip|economy.interest-ledger|heat.soft-footsteps|tie.equalizer",6,0.12%,33.333%,8.667,393020.833,0.667,"banker-anchor + lucky-chip + interest-ledger + soft-footsteps"
"core.lucky-chip|debt.last-dollar|economy.comp-points|economy.interest-ledger|player.player-tempo",3,0.06%,33.333%,9,806125,0.667,"lucky-chip + last-dollar + comp-points + interest-ledger"
"core.lucky-chip|debt.last-dollar|economy.comp-points|heat.soft-footsteps|player.punto-insurance",3,0.06%,33.333%,7,491750,0.333,"lucky-chip + last-dollar + comp-points + soft-footsteps"
"core.lucky-chip|economy.comp-points|economy.interest-ledger|heat.soft-footsteps|player.side-step",3,0.06%,33.333%,6.667,479833.333,0.333,"lucky-chip + comp-points + interest-ledger + soft-footsteps"
"banker.banker-anchor|bet.high-roller|core.clean-hands|heat.soft-footsteps",3,0.06%,33.333%,6.667,143720.667,0.333,"banker-anchor + high-roller + clean-hands + soft-footsteps"
"core.clean-hands|debt.emergency-marker|economy.interest-ledger|heat.low-profile|heat.soft-footsteps",3,0.06%,33.333%,8,233950.667,0.667,"clean-hands + emergency-marker + interest-ledger + low-profile"
"bet.high-roller|core.lucky-chip|economy.comp-points|economy.interest-ledger|heat.soft-footsteps",4,0.08%,25%,8,460593.75,0.5,"high-roller + lucky-chip + comp-points + interest-ledger"
"core.lucky-chip|economy.comp-points|economy.interest-ledger|heat.low-profile|heat.soft-footsteps",4,0.08%,25%,7.75,524625,0.25,"lucky-chip + comp-points + interest-ledger + low-profile"
"banker.commission-dodge|core.lucky-chip|debt.last-dollar|economy.comp-points|economy.interest-ledger",5,0.1%,20%,9.4,646045,0.8,"commission-dodge + lucky-chip + last-dollar + comp-points"
"core.lucky-chip|debt.last-dollar|economy.interest-ledger|heat.soft-footsteps|tie.equalizer",5,0.1%,20%,9.4,628150,0.8,"lucky-chip + last-dollar + interest-ledger + soft-footsteps"
"core.clean-hands|debt.emergency-marker|economy.comp-points|heat.low-profile|heat.soft-footsteps",5,0.1%,20%,8.4,290554.8,0.6,"clean-hands + emergency-marker + comp-points + low-profile"
"core.lucky-chip|economy.comp-points|heat.soft-footsteps|player.punto-insurance|tie.equalizer",5,0.1%,20%,6,222325,0.2,"lucky-chip + comp-points + soft-footsteps + punto-insurance"
"core.clean-hands|debt.emergency-marker|debt.last-dollar|heat.low-profile|heat.soft-footsteps",6,0.12%,16.667%,7,327772.833,0.333,"clean-hands + emergency-marker + last-dollar + low-profile"
"core.lucky-chip|debt.emergency-marker|economy.interest-ledger|heat.soft-footsteps|player.player-tempo",7,0.14%,14.286%,8,672250,0.571,"lucky-chip + emergency-marker + interest-ledger + soft-footsteps"
"banker.commission-dodge|core.lucky-chip|economy.comp-points|economy.interest-ledger|player.punto-insurance",7,0.14%,14.286%,8.571,613417.857,0.571,"commission-dodge + lucky-chip + comp-points + interest-ledger"
"core.clean-hands|debt.emergency-marker|heat.low-profile|heat.soft-footsteps|tie.equalizer",9,0.18%,11.111%,7.111,198643.889,0.333,"clean-hands + emergency-marker + low-profile + soft-footsteps"
"core.lucky-chip|debt.emergency-marker|economy.interest-ledger|heat.soft-footsteps|player.punto-insurance",11,0.22%,9.091%,8.182,460125,0.545,"lucky-chip + emergency-marker + interest-ledger + soft-footsteps"
"core.lucky-chip",229,4.58%,0%,1,24135.371,0,"lucky-chip"
"core.clean-hands",134,2.68%,0%,1,22527.052,0,"clean-hands"
"core.player-surge",110,2.2%,0%,1,20997.727,0,"player-surge"
"core.clean-hands|heat.soft-footsteps",80,1.6%,0%,2.513,4353.438,0,"clean-hands + soft-footsteps"
"core.clean-hands|heat.low-profile",55,1.1%,0%,2.218,3809.091,0,"clean-hands + low-profile"
"core.clean-hands|heat.low-profile|heat.soft-footsteps",50,1%,0%,3.52,13048.48,0,"clean-hands + low-profile + soft-footsteps"
"core.player-surge|debt.emergency-marker",48,0.96%,0%,2.5,6601.563,0,"player-surge + emergency-marker"
"core.clean-hands|debt.emergency-marker",35,0.7%,0%,2.171,3626.057,0,"clean-hands + emergency-marker"
"core.lucky-chip|economy.interest-ledger",33,0.66%,0%,2.242,5651.515,0,"lucky-chip + interest-ledger"
"core.player-surge|player.punto-insurance",33,0.66%,0%,2.636,10655.303,0,"player-surge + punto-insurance"
"core.player-surge|player.side-step",27,0.54%,0%,2.481,4365.741,0,"player-surge + side-step"
"core.player-surge|player.punto-insurance|player.side-step",27,0.54%,0%,2.889,5425.926,0,"player-surge + punto-insurance + side-step"
"core.player-surge|player.punto-insurance|player.reversal-read",26,0.52%,0%,2.923,4454.808,0,"player-surge + punto-insurance + reversal-read"
"banker.commission-dodge|core.lucky-chip|debt.emergency-marker|economy.comp-points|economy.interest-ledger",26,0.52%,0%,6.962,317087.5,0.462,"commission-dodge + lucky-chip + emergency-marker + comp-points"
"core.player-surge|debt.emergency-marker|player.punto-insurance",24,0.48%,0%,3.083,5109.375,0,"player-surge + emergency-marker + punto-insurance"
"core.lucky-chip|economy.comp-points",21,0.42%,0%,2.286,3404.762,0,"lucky-chip + comp-points"
"core.player-surge|debt.emergency-marker|heat.soft-footsteps",21,0.42%,0%,3,3297.619,0,"player-surge + emergency-marker + soft-footsteps"
"core.clean-hands|debt.emergency-marker|heat.soft-footsteps",20,0.4%,0%,3.45,8803.7,0,"clean-hands + emergency-marker + soft-footsteps"
"core.player-surge|heat.soft-footsteps",20,0.4%,0%,2.5,3818.75,0,"player-surge + soft-footsteps"
"core.player-surge|debt.emergency-marker|economy.comp-points",19,0.38%,0%,3,4032.895,0,"player-surge + emergency-marker + comp-points"
"core.player-surge|debt.emergency-marker|player.reversal-read",19,0.38%,0%,2.947,5578.947,0,"player-surge + emergency-marker + reversal-read"
"core.opening-tell",17,0.34%,0%,1,25845.588,0,"opening-tell"
"core.player-surge|vision.soft-peek",17,0.34%,0%,2.118,9485.294,0,"player-surge + soft-peek"
"core.player-surge|heat.soft-footsteps|player.punto-insurance",17,0.34%,0%,3.059,11625,0,"player-surge + soft-footsteps + punto-insurance"
"core.tie-insurance",16,0.32%,0%,1,19539.063,0,"tie-insurance"
"core.clean-hands|economy.interest-ledger",16,0.32%,0%,2.125,10437.5,0,"clean-hands + interest-ledger"
"core.lucky-chip|economy.interest-ledger|heat.soft-footsteps",16,0.32%,0%,3,7882.813,0,"lucky-chip + interest-ledger + soft-footsteps"
"core.lucky-chip|economy.comp-points|economy.interest-ledger",15,0.3%,0%,3.2,12650,0,"lucky-chip + comp-points + interest-ledger"
