build_key,runs,acquisition_probability,completion_rate,avg_final_stage,avg_ending_bankroll,consistency,dominant_components
"boss.countermeasure|core.clean-hands|core.opening-tell|counter.false-read|vision.soft-peek",5,0.001%,100%,10,14313350,1,"countermeasure + clean-hands + opening-tell + false-read"
"core.clean-hands|core.opening-tell|heat.low-profile|tie.tie-whisperer|vision.dealer-glance",5,0.001%,100%,10,16878475,1,"clean-hands + opening-tell + low-profile + tie-whisperer"
"banker.banco-battery|core.opening-tell|counter.false-read|heat.soft-footsteps|tie.tie-whisperer",5,0.001%,100%,10,18074225,1,"banco-battery + opening-tell + false-read + soft-footsteps"
"bet.flat-better|core.opening-tell|counter.false-read|heat.soft-footsteps|vision.soft-peek",5,0.001%,100%,10,11063400,1,"flat-better + opening-tell + false-read + soft-footsteps"
"core.clean-hands|core.opening-tell|core.opening-tell|tie.tie-whisperer|vision.pattern-memory",5,0.001%,100%,10,13823875,1,"clean-hands + opening-tell + opening-tell + tie-whisperer"
"core.opening-tell|core.opening-tell|counter.false-read|heat.soft-footsteps|tie.equalizer",5,0.001%,100%,10,15036925,1,"opening-tell + opening-tell + false-read + soft-footsteps"
"core.opening-tell|counter.false-read|heat.soft-footsteps|vision.dealer-glance|vision.tie-forecast",5,0.001%,100%,10,20386450,1,"opening-tell + false-read + soft-footsteps + dealer-glance"
"banker.banco-battery|core.clean-hands|core.opening-tell|tie.tie-whisperer|vision.soft-peek",5,0.001%,100%,10,14778925,1,"banco-battery + clean-hands + opening-tell + tie-whisperer"
"banker.dealers-nod|core.clean-hands|core.opening-tell|core.opening-tell|counter.false-read",5,0.001%,100%,10,17386275,1,"dealers-nod + clean-hands + opening-tell + opening-tell"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|player.side-step|vision.pattern-memory",5,0.001%,100%,10,18852375,1,"clean-hands + opening-tell + soft-footsteps + side-step"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|vision.pattern-memory|vision.soft-peek",5,0.001%,100%,10,15676450,1,"opening-tell + opening-tell + soft-footsteps + pattern-memory"
"core.opening-tell|heat.soft-footsteps|vision.banker-forecast|vision.dealer-glance|vision.soft-peek",5,0.001%,100%,10,16577125,1,"opening-tell + soft-footsteps + banker-forecast + dealer-glance"
"core.opening-tell|counter.false-read|heat.low-profile|tie.tie-whisperer|vision.soft-peek",5,0.001%,100%,10,24522175,1,"opening-tell + false-read + low-profile + tie-whisperer"
